,conditions,task_three_step_arith,task_number_sort,task_filter_words_by_length,task_filter_numbers,task_extract_and_filter,
p1,BASE,FALSE,FALSE,FALSE,FALSE,FALSE,BASE
p2,BASE,TRUE,TRUE,TRUE,TRUE,TRUE,BASE
p3,BASE,FALSE,FALSE,FALSE,FALSE,FALSE,BASE
p4,BASE,FALSE,TRUE,FALSE,FALSE,FALSE,BASE
p5,BASE,TRUE,TRUE,FALSE,TRUE,FALSE,BASE
p6,BASE,TRUE,TRUE,FALSE,FALSE,FALSE,BASE
p7,BASE,FALSE,TRUE,FALSE,FALSE,FALSE,BASE
p8,BASE,TRUE,FALSE,TRUE,TRUE,TRUE,BASE
p9,BASE,FALSE,TRUE,FALSE,TRUE,FALSE,BASE
p10,BASE,FALSE,TRUE,FALSE,TRUE,FALSE,BASE
p11,BASE,TRUE,FALSE,TRUE,FALSE,FALSE,BASE
p12,BASE,TRUE,TRUE,FALSE,TRUE,FALSE,BASE
p13,BASE,TRUE,TRUE,FALSE,TRUE,TRUE,BASE
p14,BASE,TRUE,TRUE,TRUE,TRUE,TRUE,BASE
p15,BASE,FALSE,FALSE,FALSE,FALSE,FALSE,BASE
p16,EXP,TRUE,TRUE,TRUE,TRUE,TRUE,EXP
p17,EXP,TRUE,TRUE,TRUE,TRUE,TRUE,EXP
p18,EXP,TRUE,TRUE,TRUE,TRUE,TRUE,EXP
p19,EXP,TRUE,TRUE,TRUE,TRUE,TRUE,EXP
p20,EXP,TRUE,TRUE,TRUE,TRUE,FALSE,EXP
p21,EXP,TRUE,TRUE,TRUE,TRUE,TRUE,EXP
p22,EXP,FALSE,TRUE,TRUE,TRUE,FALSE,EXP
p23,EXP,FALSE,TRUE,FALSE,FALSE,FALSE,EXP
p24,EXP,TRUE,TRUE,TRUE,TRUE,TRUE,EXP
p25,EXP,TRUE,TRUE,TRUE,TRUE,FALSE,EXP
p26,EXP,TRUE,TRUE,TRUE,TRUE,FALSE,EXP
p27,EXP,TRUE,TRUE,TRUE,TRUE,TRUE,EXP
p28,EXP,TRUE,TRUE,TRUE,TRUE,TRUE,EXP
p29,EXP,TRUE,TRUE,TRUE,TRUE,TRUE,EXP
p30,EXP,TRUE,TRUE,TRUE,TRUE,TRUE,EXP